Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster SCHWEIZ Substanz;05.12.2024;-0,0013284115;-1.537,47;0,1288351348;130.003,62;0;EUR
Muster SCHWEIZ Substanz;06.12.2024;0,0001308319;151,22;0,1289812824;130.154,84;0;EUR
Muster SCHWEIZ Substanz;07.12.2024;0,0000177882;20,56;0,1290016599;130.175,40;0;EUR
Muster SCHWEIZ Substanz;08.12.2024;0,0000177878;20,56;0,1290220373;130.195,96;0;EUR
Muster SCHWEIZ Substanz;09.12.2024;0,0004549624;525,95;0,1295395280;130.721,91;0;EUR
Muster SCHWEIZ Substanz;10.12.2024;0,0011668617;1.349,54;0,1308731185;132.071,45;0;EUR
Muster SCHWEIZ Substanz;11.12.2024;0,0014620795;1.692,95;0,1325469288;133.764,40;0;EUR
Muster SCHWEIZ Substanz;12.12.2024;-0,0028807845;-3.340,55;0,1292331157;130.423,85;0;EUR
Muster SCHWEIZ Substanz;13.12.2024;-0,0027293977;-3.155,88;0,1261024773;127.267,97;0;EUR
Muster SCHWEIZ Substanz;14.12.2024;0,0000178613;20,60;0,1261228846;127.288,56;0;EUR
Muster SCHWEIZ Substanz;15.12.2024;0,0000178610;20,60;0,1261432918;127.309,16;0;EUR
Muster SCHWEIZ Substanz;16.12.2024;-0,0016802673;-1.937,59;0,1242199474;125.371,57;0;EUR
Muster SCHWEIZ Substanz;17.12.2024;-0,0000870783;-100,24;0,1241171359;125.271,33;0;EUR
Muster SCHWEIZ Substanz;18.12.2024;-0,0006384792;-734,96;0,1233854967;124.536,37;0;EUR
Muster SCHWEIZ Substanz;19.12.2024;-0,0056319204;-6.478,78;0,1169633201;118.057,59;0;EUR
Muster SCHWEIZ Substanz;20.12.2024;-0,0002892500;-330,87;0,1166322734;117.726,72;0;EUR
Muster SCHWEIZ Substanz;21.12.2024;0,0000180401;20,63;0,1166527115;117.747,35;0;EUR
Muster SCHWEIZ Substanz;22.12.2024;0,0000180397;20,63;0,1166731496;117.767,98;0;EUR
Muster SCHWEIZ Substanz;23.12.2024;0,0011483748;1.313,28;0,1179709530;119.081,26;0;EUR
Muster SCHWEIZ Substanz;24.12.2024;0,0012741067;1.458,74;0,1194127958;120.540,00;0;EUR
Muster SCHWEIZ Substanz;25.12.2024;-0,0001114665;-127,78;0,1192829255;120.412,22;0;EUR
Muster SCHWEIZ Substanz;26.12.2024;-0,0002119307;-242,92;0,1190390140;120.169,29;0;EUR
Muster SCHWEIZ Substanz;27.12.2024;-0,0021319218;-2.443,19;0,1166156201;117.726,11;0;EUR
Muster SCHWEIZ Substanz;28.12.2024;0,0000180433;20,63;0,1166360591;117.746,74;0;EUR
Muster SCHWEIZ Substanz;29.12.2024;0,0000180430;20,63;0,1166564981;117.767,38;0;EUR
Muster SCHWEIZ Substanz;30.12.2024;-0,0004343362;-496,71;0,1161613119;117.270,67;0;EUR
Muster SCHWEIZ Substanz;31.12.2024;0,0007025770;803,12;0,1169536570;118.073,79;0;EUR
