Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster FFPB Pro;24.04.2024;-0,0016940018;-2.170,50;0,1708807624;178.457,41;-0,001231595;0,03879000
Muster FFPB Pro;25.04.2024;-0,0084220103;-10.772,73;0,1605144825;167.684,68;-0,008701068;0,03864000
Muster FFPB Pro;26.04.2024;0,0141617141;17.961,92;0,1776526701;185.646,60;0,012812139;0,03865000
Muster FFPB Pro;27.04.2024;0,0000025475;3,28;0,1776558059;185.649,88;0;0,03865000
Muster FFPB Pro;28.04.2024;0,0000025475;3,28;0,1776589417;185.653,15;0;0,03865000
Muster FFPB Pro;29.04.2024;-0,0020568962;-2.645,81;0,1750728436;183.007,34;-0,002263849;0,03835000
Muster FFPB Pro;30.04.2024;-0,0072039138;-9.247,42;0,1661755053;173.759,92;-0,011208477;0,03825000
Muster FFPB Pro;01.05.2024;-0,0049713694;-6.335,61;0,1600680369;167.424,31;-0,001284391;0,03825000
Muster FFPB Pro;02.05.2024;0,0018056011;2.289,65;0,1622086112;169.713,97;0,000936584;0,03853000
Muster FFPB Pro;03.05.2024;0,0055252254;6.991,26;0,1688454400;176.705,23;0,005447803;0,03827000
