Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ETF Muster 100/100 offensiv;31.07.2021;0;0;0,3558732044;35.969,01;0;EUR
ETF Muster 100/100 offensiv;01.08.2021;0;0;0,3558732044;35.969,01;0;EUR
ETF Muster 100/100 offensiv;02.08.2021;0,0035605342;485,09;0,3606745377;36.454,10;0,000571820;EUR
ETF Muster 100/100 offensiv;03.08.2021;0,0030151071;412,24;0,3647551776;36.866,34;0,003568113;EUR
ETF Muster 100/100 offensiv;04.08.2021;0,0024891364;341,35;0,3681344962;37.207,69;-0,000467865;EUR
ETF Muster 100/100 offensiv;05.08.2021;0,0028127937;386,70;0,3719625028;37.594,39;0,003281697;EUR
ETF Muster 100/100 offensiv;06.08.2021;-0,0016183434;-223,11;0,3697569644;37.371,28;0,001982675;EUR
ETF Muster 100/100 offensiv;07.08.2021;0;0;0,3697569644;37.371,28;0;EUR
ETF Muster 100/100 offensiv;08.08.2021;0;0;0,3697569644;37.371,28;0;EUR
ETF Muster 100/100 offensiv;09.08.2021;0,0011462815;157,78;0,3713200090;37.529,06;0,000517413;EUR
ETF Muster 100/100 offensiv;10.08.2021;0,0012399292;170,86;0,3730125389;37.699,92;0,001472837;EUR
ETF Muster 100/100 offensiv;11.08.2021;0,0004636831;63,97;0,3736475054;37.763,89;0,000812876;EUR
ETF Muster 100/100 offensiv;12.08.2021;0,0016517514;228,00;0,3759053948;37.991,89;0,001518499;EUR
ETF Muster 100/100 offensiv;13.08.2021;0,0002416592;33,41;0,3762379818;38.025,31;-0,001144460;EUR
ETF Muster 100/100 offensiv;14.08.2021;0;0;0,3762379818;38.025,31;0;EUR
ETF Muster 100/100 offensiv;15.08.2021;0;0;0,3762379818;38.025,31;0;EUR
ETF Muster 100/100 offensiv;16.08.2021;-0,0018364589;-253,98;0,3737270174;37.771,33;-0,000140204;EUR
ETF Muster 100/100 offensiv;17.08.2021;-0,0007742010;-106,87;0,3726715377;37.664,46;-0,000421619;EUR
ETF Muster 100/100 offensiv;18.08.2021;0,0012672356;174,80;0,3744030419;37.839,26;-0,003152827;EUR
ETF Muster 100/100 offensiv;19.08.2021;-0,0048347020;-667,72;0,3677981528;37.171,53;-0,001028925;EUR
ETF Muster 100/100 offensiv;20.08.2021;0,0020981302;288,37;0,3706534388;37.459,91;0,002988299;EUR
ETF Muster 100/100 offensiv;21.08.2021;0;0;0,3706534388;37.459,91;0;EUR
ETF Muster 100/100 offensiv;22.08.2021;0;0;0,3706534388;37.459,91;0;EUR
ETF Muster 100/100 offensiv;23.08.2021;0,0054385154;749,05;0,3780670507;38.208,96;0,002490333;EUR
ETF Muster 100/100 offensiv;24.08.2021;0,0020762596;287,52;0,3809139850;38.496,48;0,000599339;EUR
ETF Muster 100/100 offensiv;25.08.2021;-0,0000722691;-10,03;0,3808167485;38.486,45;0,000265391;EUR
ETF Muster 100/100 offensiv;26.08.2021;-0,0016417709;-227,33;0,3785700423;38.259,12;-0,002690265;EUR
ETF Muster 100/100 offensiv;27.08.2021;0,0033166800;458,50;0,3831095735;38.717,62;0,002429952;EUR
ETF Muster 100/100 offensiv;28.08.2021;0;0;0,3831095735;38.717,62;0;EUR
ETF Muster 100/100 offensiv;29.08.2021;0;0;0,3831095735;38.717,62;0;EUR
ETF Muster 100/100 offensiv;30.08.2021;0,0010249074;142,15;0,3845189170;38.859,77;0,001816099;EUR
ETF Muster 100/100 offensiv;31.08.2021;-0,0007909288;-109,81;0,3834350394;38.749,96;-0,001710110;EUR
ETF Muster 100/100 offensiv;01.09.2021;0,0022492719;312,04;0,3865254954;39.062,00;-0,000637443;EUR
ETF Muster 100/100 offensiv;02.09.2021;0,0020386475;283,46;0,3893331459;39.345,46;0,001365319;EUR
ETF Muster 100/100 offensiv;03.09.2021;-0,0015031424;-209,43;0,3872635518;39.136,03;-0,000455071;EUR
ETF Muster 100/100 offensiv;04.09.2021;0;0;0,3872635518;39.136,03;0;EUR
ETF Muster 100/100 offensiv;05.09.2021;0;0;0,3872635518;39.136,03;0;EUR
ETF Muster 100/100 offensiv;06.09.2021;0,0029141618;405,41;0,3912779827;39.541,44;0,001789693;EUR
ETF Muster 100/100 offensiv;07.09.2021;-0,0026850844;-374,63;0,3875736142;39.166,81;-0,001698827;EUR
ETF Muster 100/100 offensiv;08.09.2021;-0,0045147779;-628,22;0,3813597609;38.538,59;-0,000449636;EUR
ETF Muster 100/100 offensiv;09.09.2021;-0,0007003638;-97,01;0,3804024364;38.441,58;-0,001402141;EUR
ETF Muster 100/100 offensiv;10.09.2021;-0,0006659732;-92,19;0,3794928751;38.349,39;-0,003261083;EUR
