Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster SCHWEIZ Aktien;30.10.2024;-0,0078870972;-9.625,88;0,2257776505;225.238,12;0;0,03056000
Muster SCHWEIZ Aktien;31.10.2024;-0,0080985292;-9.805,97;0,2159528459;215.432,15;0;0,03062000
Muster SCHWEIZ Aktien;01.11.2024;0,0064295559;7.722,07;0,2236983847;223.154,23;0;0,03085000
Muster SCHWEIZ Aktien;02.11.2024;0;0;0,2236983847;223.154,23;0;0,03085000
Muster SCHWEIZ Aktien;03.11.2024;0;0;0,2236983847;223.154,23;0;0,03085000
Muster SCHWEIZ Aktien;04.11.2024;-0,0026658960;-3.222,40;0,2204728433;219.931,83;0;0,03075000
Muster SCHWEIZ Aktien;05.11.2024;-0,0011291178;-1.361,18;0,2191129838;218.570,64;0;0,03057000
Muster SCHWEIZ Aktien;06.11.2024;0,0112880195;13.592,65;0,2327443022;232.163,29;0;0,03049000
Muster SCHWEIZ Aktien;07.11.2024;0,0087633392;10.671,63;0,2434477924;242.834,92;0;0,03032000
Muster SCHWEIZ Aktien;08.11.2024;0,0000183047;22,49;0,2434754707;242.857,41;0;0,03032000
Muster SCHWEIZ Aktien;09.11.2024;0;0;0,2434754707;242.857,41;0;0,03032000
Muster SCHWEIZ Aktien;10.11.2024;0;0;0,2434754707;242.857,41;0;0,03032000
Muster SCHWEIZ Aktien;11.11.2024;0,0079874738;9.812,23;0,2533179995;252.669,64;0;0,03040000
Muster SCHWEIZ Aktien;12.11.2024;-0,0059894868;-7.416,57;0,2458875478;245.253,07;0;0,03034000
Muster SCHWEIZ Aktien;13.11.2024;-0,0003337703;-410,82;0,2454807880;244.842,25;0;0,03023000
Muster SCHWEIZ Aktien;14.11.2024;0,0044674649;5.496,94;0,2509972802;250.339,19;0;0,03005000
Muster SCHWEIZ Aktien;15.11.2024;-0,0152049650;-18.792,34;0,2321603521;231.546,85;0;0,02998000
Muster SCHWEIZ Aktien;16.11.2024;0;0;0,2321603521;231.546,85;0;0,02998000
Muster SCHWEIZ Aktien;17.11.2024;0;0;0,2321603521;231.546,85;0;0,02998000
Muster SCHWEIZ Aktien;18.11.2024;-0,0014577168;-1.774,25;0,2303861610;229.772,60;0;0,03004000
Muster SCHWEIZ Aktien;19.11.2024;0,0022809840;2.772,23;0,2331705973;232.544,83;0;0,03013000
Muster SCHWEIZ Aktien;20.11.2024;0,0053790974;6.552,49;0,2397456406;239.097,33;0;0,03000000
Muster SCHWEIZ Aktien;21.11.2024;0,0083501500;10.226,37;0,2500048454;249.323,69;0;0,03005000
Muster SCHWEIZ Aktien;22.11.2024;0,0141376177;17.458,81;0,2675168024;266.782,50;0;0,03022000
Muster SCHWEIZ Aktien;23.11.2024;0;0;0,2675168024;266.782,50;0;0,03022000
Muster SCHWEIZ Aktien;24.11.2024;0;0;0,2675168024;266.782,50;0;0,03022000
Muster SCHWEIZ Aktien;25.11.2024;-0,0063255834;-7.922,02;0,2595782474;258.860,48;0;0,02985000
Muster SCHWEIZ Aktien;26.11.2024;-0,0009299337;-1.157,26;0,2584230049;257.703,22;0;0,02898000
Muster SCHWEIZ Aktien;27.11.2024;-0,0048821714;-6.070,00;0,2523411422;251.633,23;0;0,02912000
Muster SCHWEIZ Aktien;28.11.2024;0,0027258557;3.372,51;0,2557282736;255.005,73;0;0,02939000
Muster SCHWEIZ Aktien;29.11.2024;0,0025179643;3.123,79;0,2588660962;258.129,52;0;0,02934000
Muster SCHWEIZ Aktien;30.11.2024;0;0;0,2588660962;258.129,52;0;0,02934000
Muster SCHWEIZ Aktien;01.12.2024;0;0;0,2588660962;258.129,52;0;0,02934000
Muster SCHWEIZ Aktien;02.12.2024;0,0128947196;16.037,48;0,2749548262;274.167,00;0;0,02924000
Muster SCHWEIZ Aktien;03.12.2024;-0,0040682592;-5.125,04;0,2698204255;269.041,96;0;0,02879000
Muster SCHWEIZ Aktien;04.12.2024;0,0026551147;3.331,21;0,2731666829;272.373,17;0;0,02877000
Muster SCHWEIZ Aktien;05.12.2024;-0,0059261163;-7.454,87;0,2656953450;264.918,30;0;0,02881000
Muster SCHWEIZ Aktien;06.12.2024;0,0015057481;1.882,96;0,2675890929;266.801,26;0;0,02868000
Muster SCHWEIZ Aktien;07.12.2024;0;0;0,2675890929;266.801,26;0;0,02868000
Muster SCHWEIZ Aktien;08.12.2024;0;0;0,2675890929;266.801,26;0;0,02868000
